record - header - identifier,dc:contributor[@element=contributor][@qualifier=author],dc:date[@element=date][@qualifier=accessioned],dc:date[@element=date][@qualifier=available],dc:date[@element=date][@qualifier=issued],dc:identifier[@element=identifier][@qualifier=uri],dc:description[@element=description][@language=en],dc:description[@element=description][@qualifier=abstract][@language=en],dc:description[@element=description][@qualifier=provenance][@language=en],dc:format[@element=format][@qualifier=extent],dc:format[@element=format][@qualifier=mimetype],dc:language[@element=language][@qualifier=iso],dc:subject[@element=subject][@language=en],dc:title[@element=title][@language=en],dc:type[@element=type][@language=en],dc:subject[@element=subject],dc:description[@element=description][@qualifier=sponsorship][@language=en],dc:language[@element=language][@qualifier=iso][@language=en],dc:description[@element=description][@qualifier=abstract][@language=en_US],dc:language[@element=language][@qualifier=iso][@language=en_US],dc:subject[@element=subject][@language=en_US],dc:title[@element=title][@language=en_US],dc:type[@element=type][@language=en_US],dc:description[@element=description][@language=en_US],dc:description[@element=description][@qualifier=sponsorship][@language=en_US],dc:description[@element=description],dc:relation[@element=relation][@qualifier=ispartofseries][@language=en_US],dc:title[@element=title][@qualifier=alternative][@language=en_US],dc:contributor[@element=contributor][@qualifier=author][@language=en_US],dc:date[@element=date][@qualifier=issued][@language=en_US],dc:contributor[@element=contributor][@qualifier=advisor],dc:contributor[@element=contributor][@qualifier=other],dc:description[@element=description][@qualifier=abstract],dc:publisher[@element=publisher][@language=en_US],dc:rights[@element=rights][@language=*],dc:rights[@element=rights][@qualifier=uri][@language=*],dc:contributor[@element=contributor][@qualifier=chair],dc:identifier[@element=identifier][@qualifier=doi],dc:identifier[@element=identifier][@qualifier=doi][@language=en_US],dc:description[@element=description][@qualifier=provenance]
oai:ecommons.cornell.edu:1813/23120,"Beaman, Whitney",2011-06-30T17:35:35Z,2011-06-30T17:35:35Z,2011-06-30,http://hdl.handle.net/1813/23120,,,"Made available in DSpace on 2011-06-30T17:35:35Z (GMT). No. of bitstreams: 1
Beaman, Whitney -  Research Honors Thesis.pdf: 300742 bytes, checksum: e4aa11feafce9e86d45f66bca48e07c5 (MD5)",,,,,,,,,,"Oenococcus oeni is a species of lactic acid bacteria that is used in winemaking to perform malolactic fermentation, a conversion of malic acid to lactic acid. Not much is known about the impact of cell concentration and stage of growth on the ability of O. oeni to metabolize malic acid, but this information would be useful to winemakers who experience stuck malolactic fermentation. Corresponding optical absorbance at 650 nm and concentration data, based on viable cell plating, were collected for Alpha and MCW strains of O. oeni over time. This data was used to estimate viable cell concentrations and timing of growth phases for each strain using optical density measurements. Each stain was grown up to late stationary phase, washed and resuspended in buffer. Cells were then diluted to concentrations of 107 cells/mL, 106 cells/mL, 105 cells/mL, 104 cells/mL, 103 cells/mL, and 102 cells/mL and placed in a buffer that did not support growth. Malic acid was added, and samples were taken every half hour for four hours and analyzed for malic acid concentration by enzyme assay. This was repeated with cells that were harvested at the early exponential, mid exponential, late exponential/early stationary, and late stationary phases of growth adjusted to cell concentrations of 107 and 106 cells/mL. Results indicated that both strains performed malolactic fermentation from mid exponential to late stationary phase and that there was malolactic fermentation activity at both low and high concentrations (102 and 107 cells/mL). No conversion of malic acid occurred in cells harvested at the early stationary phase of growth.",en_US,growth phase,Effect of Cell Density and Growth Phase on Malolactic Fermentation by Oenococcus oeni,Dissertation or Thesis,,,,,,,,,,,,,,,,,
oai:ecommons.cornell.edu:1813/23121,"Falcon, Celeste",2011-06-30T17:35:55Z,2011-06-30T17:35:55Z,2011-06-30,http://hdl.handle.net/1813/23121,,,"Made available in DSpace on 2011-06-30T17:35:55Z (GMT). No. of bitstreams: 1
Falcon, Celeste - Research Honors Thesis.pdf: 581127 bytes, checksum: 0ea40359e71ccaa994c32b8afd9738d7 (MD5)",,,,,,,,,,"As a widely consumed staple food, wheat (Triticum aestivum) is a good vehicle for inulin, a complex carbohydrate which improves gastrointestinal microfauna populations thereby increasing the body’s ability to take up micronutrients and improving the immune system. This set of studies was conducted to determine the amount of variation for inulin content in wheat, the trait’s heritability and the level of environmental effects on this trait, and to find quantitative trait loci for inulin content. Amongst 87 varieties, inulin content ranged from 0.04% to 1.46% of dry weight with a median value of 0.70%, demonstrating that there is significant genetic variation for inulin content. When 20 varieties were grown in 6 different locations, inulin content was found to have a low heritability (H2=0.198999), and GxE effects were a significant factor in predicting inulin content. From a population consisting of 101 doubled-haploid lines created from a cross between AC Reed and Grandin, composite interval mapping detected major QTLs on chromosomes 2BL-2 and 5BS which explained 20.15% and 15.28% of the variation for inulin content, respectively. The results of these studies indicate that, although the heritability is relatively low, there is sufficient genetic variation for improving inulin content in a wheat breeding program and that marker-assisted selection would be useful.",en_US,plant breeding,Mapping the Genes Controlling Inulin Content in Wheat,Dissertation or Thesis,,,,,,,,,,,,,,,,,
oai:ecommons.cornell.edu:1813/23122,"Hendricks, Rachel Ann",2011-06-30T17:36:56Z,2011-06-30T17:36:56Z,2011-06-30,http://hdl.handle.net/1813/23122,,,"Made available in DSpace on 2011-06-30T17:36:56Z (GMT). No. of bitstreams: 1
Hendricks, Rachel - Research Honors Thesis.pdf: 8788149 bytes, checksum: fb70a553b610f1e1820d10b5e97aece9 (MD5)",,,,,,,,,,"The Ithaca Gun Factory, located in Ithaca, New York above one of the city’s most prominent and scenic features, Ithaca Falls, laid abandoned for several decades before its demolition in the year before this thesis was written. The Gun Company long stood along Fall Creek as one of the last enduring beacons of that area’s industrial core, and in its absence persists a cultural narrative on the role of the industrial landscape in today’s society. This thesis is a collection of important or pertinent information on the history and current conditions of the site of the factory and the land in its immediate vicinity. Although the site is highly visible within the Ithaca community, it lacks accurate and comprehensive documentation. While a formal survey has yet to be conducted, this work is intended as a collection of the full breadth of data from the site’s industrial beginnings, to its most recent history.
This thesis is divided into two parts, the first being a study of the Gun Company’s history, from the land’s ancient geological beginnings, through its inception among other formative industries, to the toxic circumstances leading up to its eventual dilapidation and razing, with proposals for its redevelopment opening a new chapter in the site’s history. The second part documents the site in its extant condition, focusing on its specific landscape characteristics that portray the site’s significance as well as its shortcomings. The historical documentary information was assembled from a variety of primary and secondary sources including historic maps, photographs, correspondence, reports, environmental assessments, written histories, and past studies conducted on the site. The description of existing conditions is based on site visits and previous documentation of the site’s components and partial surveys of its vegetation and topographical features.",en_US,,A Site’s History: The Ithaca Gun Company,Dissertation or Thesis,,,,,,,,,,,,,,,,,
oai:ecommons.cornell.edu:1813/23123,"Lam, Jimmy",2011-06-30T17:37:09Z,2011-06-30T17:37:09Z,2011-06-30,http://hdl.handle.net/1813/23123,,,"Made available in DSpace on 2011-06-30T17:37:09Z (GMT). No. of bitstreams: 1
Lam, Jimmy - Research Honors Thesis.pdf: 1508387 bytes, checksum: 1e3e4f8f2c2949eb9c13f669d62fac80 (MD5)",,,,,,,,,,"Cysteine catabolism is dependent upon cysteine dioxygenase (CDO), a thiol dioxygenase encoded by the gene CDO1. The clinical literature and, more recently, the study of CDO polymorphisms in disease and control populations have illustrated a strong association of impaired metabolism of cysteine to sulfate and taurine and/or CDO loss-of-function mutations with a variety of autoimmune and neurodegenerative diseases. The Stipanuk research group has recently generated a germ-line CDO knockout (CDO-/-) mouse that clearly has metabolic and phenotypic abnormalities. Phenotypically, CDO knockout (null) mice exhibit signs of connective tissue and skeletal abnormalities, especially joint hyperlaxity (hypermobility) and wry nose (contortions in the nasal bone). Our studies indicate that CDO null mice have clear connective tissue abnormalities. Key abnormal features include significant increases in lung air space, measured by mean linear intercept; lung elastic fiber disarray and entanglement; significant increase in matrix metalloproteinase-12 (MMP-12), an enzyme involved in degrading elastin, in the lung; and skeletal development retardation.",en_US,,Morphology and Pathology of the Cysteine Dioxygenase Knockout Mouse: Evaluating Skeletal and Connective Tissue Abnormalities,Dissertation or Thesis,,,,,,,,,,,,,,,,,
oai:ecommons.cornell.edu:1813/23124,"Eric, Przybyszewski",2011-06-30T17:37:21Z,2011-06-30T17:37:21Z,2011-06-30,http://hdl.handle.net/1813/23124,,,"Made available in DSpace on 2011-06-30T17:37:21Z (GMT). No. of bitstreams: 1
Przybyszewski, Eric - Research Honors Thesis.pdf: 339108 bytes, checksum: 1caeda2fa83d09f04e0c47c2d61d2ff3 (MD5)",,,,,,,,,,"The objective of this study was to test a methodological procedure for estimating energy expenditure for a population of Indian female tea pluckers. Subjects (N=40; age20-50y) working on a tea estate in West Bengal, India participated in the study. Each subject wore an Actigraph accelerometer, Polar heart rate monitor and Cosmed K4b2 indirect calorimeter during a 90-minute period to assess minute-by-minute physical activity (PA), heart rate (HR) and energy expenditure (EE), respectively. The testing period was meant to replicate a normal tea plucker’s work day which included 2 periods of rest, 3 periods of picking while carrying weight (0, 5, and 10kg) and 3 periods of walking while carrying weight (15,20, 25kg). An EE prediction equation was generated using a branched method that first distinguishes time during normal workday activities (picking, walking, resting) using accelerometer counts. Resting EE was estimated from age and weight, while minute-by-minute non-resting EE was estimated from HR and BMI. Rather than creating individually calibrated curves for each subject, individuals can be grouped based on BMI categories (<18.5, 18.5≥BMI≤24.5, >24.5) to predict EE during the work day. Predicted EE will be used to evaluate the efficiency of performing work (weight of tea plucked/kcal EE) relative to iron status in an independent sample of 248 tea pluckers. We conclude that energy expenditure can be accurately predicted with a branched equation based on PA, HR, age and BMI for a specific population participating in a known set of activities.",en_US,,"Predicting Energy Expenditure from Physical Activity, Heart Rate and Anthropometry in Female Indian Tea Pluckers",Dissertation or Thesis,,,,,,,,,,,,,,,,,
oai:ecommons.cornell.edu:1813/23125,"Wollis, Melissa A.",2011-06-30T17:37:32Z,2011-06-30T17:37:32Z,2011-06-30,http://hdl.handle.net/1813/23125,,,"Made available in DSpace on 2011-06-30T17:37:32Z (GMT). No. of bitstreams: 1
Wollis, Melissa - Research Honors Thesis.pdf: 116249 bytes, checksum: 5026263c049adaef009dff13c8db025b (MD5)",,,,,,,,,,"Current theory about online sexual predation suggests that predators engage in a grooming process with their victims. Grooming consists of three main stages: friendship and relationship forming, risk assessment and exclusivity, and sexual. This thesis examines whether predators utilized different patterns of language use across each of the stages that can be identified through computerized text analysis. The transcripts of 43 convicted predators were spliced into three equal sections according to word count and a computerized text analysis was performed to look at the different types of language that are expected in each stage based on grooming. The results reveal that predator language differs significantly throughout the three stages of grooming, and that the grooming stages can predict language patterns that are used most frequently in each stage. The theoretical and practical implications of these findings are discussed in terms of grooming theory and the use of computerized text analysis to identify predators and educate youth.",en_US,,Online Predation: A Linguistic Analysis of Online Predator Grooming,Dissertation or Thesis,,,,,,,,,,,,,,,,,
oai:ecommons.cornell.edu:1813/23126,"Zuza, Andrew V.",2011-06-30T17:37:45Z,2011-06-30T17:37:45Z,2011-06-30,http://hdl.handle.net/1813/23126,,,"Made available in DSpace on 2011-06-30T17:37:45Z (GMT). No. of bitstreams: 1
Zuza, Andrew - Research Honors Thesis.pdf: 1216871 bytes, checksum: c50907c88113e14c0d960cbe0f9768eb (MD5)",,,,,,,,,,"Diffuse, intraplate volcanic deposits are prevalent throughout Mongolia. This study sought to examine Late Cenozoic lavas (9.5-17.1 Ma) from the Hövsgöl rift basin in order to better understand their source, genesis, and evolution. The relationship of these volcanic rocks to the Baikal Rift Zone (BRZ) and the extent to which these lavas are involved in, or derived from, rifting has important implications for lithospheric development of Mongolia and Central Asia. The alkaline basalts have similar light rare earth element enrichments (La/Yb = 9.1-31.9) and 87Sr/86Sr ratios in the range of .7039 to .7050. Major and trace element and isotopic data reveal that low degrees of partial melting of garnet lherzolite occurred at depths greater than 65 km. Enrichment in fluid-mobile elements (e.g. Sr and Ba), lower La/Nb ratios, and a calc-alkaline trend suggest that hydrous minerals may have contributed to the melt. Nb enrichment (>35 ppm), along with the melting of hydrous minerals, may be attributed to the melting of a metasomatically enriched lithospheric mantle source. The mixing of minor asthenospheric upwelling with a volatile-rich, metasomatized lithospheric mantle may have produced melts without requiring extremely elevated temperatures, consistent with other published studies that show a small, shallow thermal anomaly under Mongolia.",en_US,,"Late Cenozoic Volcanism in the Hövsgöl Rift Basin: Source, Genesis, and Evolution of Intraplate Volcanism in Mongolia",Dissertation or Thesis,,,,,,,,,,,,,,,,,
oai:ecommons.cornell.edu:1813/23127,"Wagner, Gabriela R.",2011-06-30T17:38:03Z,2011-06-30T17:38:03Z,2011-06-30,http://hdl.handle.net/1813/23127,,,"Made available in DSpace on 2011-06-30T17:38:03Z (GMT). No. of bitstreams: 1
Wagner, Gabriela - Research Honors Thesis.pdf: 804544 bytes, checksum: 722eaa8e3fb1ea0c331595b984fb9555 (MD5)",,,,,,,,,,"Listeria monocytogenes is a gram-positive bacterium and the causative agent of listeriosis, a food-borne infection. During infection, the bacterium invades host cells and lyses phagocytic vacuoles to gain access to the cytosol where it multiplies. One of the virulence factors involved in escape from vacuoles is a secreted zinc-dependent metalloprotease (Mpl). Mpl is made as a zymogen of ~55 kDa and is composed of a propeptide and a catalytic domain. Mpl maturation occurs by autocatalysis in a pH-dependent manner. To better understand the mechanism of Mpl autocatalysis, we aimed to purify Mpl for structure/function analysis. Mpl was purified in its natural host, L. monocytogenes, grown under conditions that favor the expression of Mpl, and the supernatant was recovered by centrifugation and filtration. Secreted proteins, including Mpl, were concentrated by ammonium sulfate precipitation, recovered by centrifugation, dissolved in water, and passed through a buffer exchange column to eliminate the salt. Mpl was purified by ion-exchange chromatography at pH 7.0, and eluted from the column at 500 mM NaCl. It was further purified via Flag-tag affinity chromatography. Fractions containing Mpl were identified by Western immunoblot with an anti-Mpl antibody, and Coomassie Blue staining of protein gels was used to verify purity. At the conclusion of these experiments, 4 nonspecific proteins in very small concentrations were found to co-purify with Mpl.",en_US,,Purification of the Metalloprotease of Listeria monocytogenes,Dissertation or Thesis,,,,,,,,,,,,,,,,,
oai:ecommons.cornell.edu:1813/23129,"Fuess, Lucas C.",2011-07-06T12:20:26Z,2011-07-06T12:20:26Z,2011-07-06,http://hdl.handle.net/1813/23129,,,"Made available in DSpace on 2011-07-06T12:20:26Z (GMT). No. of bitstreams: 1
Fuess, Lucas - Research Honors Thesis.pdf: 206753 bytes, checksum: 018b6e1cadf558dc0217fcac0222f310 (MD5)",,,,,,,,,,"In recent years, social media has become a huge and integral component of how people
spend their time online; from wikis to blogs and from Facebook to Twitter, people are spending
enormous amounts of time on websites used to share information and connect with people. New
forms of relationship building and social capital occur through social networking sites. Within
Cooperative Extension, it is imperative to keep up with evolving forms of communication to
connect with an ever changing audience. Interviews were conducted throughout New York and
Wisconsin with educators in both rural and urban counties, with varying amounts of social media
experience, and varying ages and backgrounds. A cross state study was conducted to determine if
results were consistent in unique areas. Questions asked determined how Cooperative Extension
is utilizing social media to connect with people in different ways, if social media was an
effective communication platform, and if it is worth it for Cooperative Extension to utilize this
resource. Data was collected about the uses of social media and its perceived opportunities, risks,
and barriers for use. Conclusions drawn indicate people are excited about a new, free, and easy
opportunity to connect with others. Concerns include time spent using social media, a perceived
lack of privacy and control of the websites, and a lack of training opportunities for extension
educators. As technology continues to evolve, Cooperative Extension needs to evolve as well in
order to most effectively communicate with constituents.",en_US,opportunities,"An Analysis and Recommendations of the Use of Social Media within the Cooperative Extension System: Opportunities, Risks, and Barriers",Dissertation or Thesis,,,,,,,,,,,,,,,,,
oai:ecommons.cornell.edu:1813/23130,"Popovici, Alexandra",2011-07-06T19:48:24Z,2011-07-06T19:48:24Z,2011-07-06,http://hdl.handle.net/1813/23130,,,"Made available in DSpace on 2011-07-06T19:48:24Z (GMT). No. of bitstreams: 1
Popovici, Alexandra - Research Honors Thesis.pdf: 182573 bytes, checksum: 944a3fa7307fa3ae973b183141aad457 (MD5)",,,,,,,,,,"The Deepwater Horizon oil spill was an environmental catastrophe that wreaked havoc on populations, habitats and livelihoods within the gulf region. As most studies inspect the environmental impacts resulting from this type of event, I have chosen to examine the implications of the conflicts that arise over the management of the spill within the state of Louisiana (the clean-up and response to victims). This study provides a lens into understanding how the claiming of rights and the abdication of responsibility gets played out through these debates. Investigating these disputes between British Petroleum (BP), the Louisiana State Government, the national government and the Louisiana victims allows for a more in-depth look into how the handling of disasters can further exacerbate the problems these regions face. In this study a variation of national and local newspapers were used to gather information over the discourses of the debate. These two perspectives provided a spectrum of political viewpoints, public opinions and experiences that were useful in the analysis. These include the various ways that the debate was framed by key parties involved, how the displacement of blame developed and how the eligibility requirements and process of the BP compensation fund had severe implications for the victims. These investigations add to our understanding of how the shifting of responsibility, the accessibility of rights, the acts of blaming and acceptance of accountability develop and persist in the wake of this detrimental calamity. This study is part of a growing body of research on environmental citizenship within the field of political ecology. In uncapping information on the interpretations and progression of disputes over managing the spill, this project will be able to contribute to future research on similar topics.",en_US,,"The Socio-environmental Implications and Effects of the Gulf Oil Spill: Impact on Citizens, Rights, and Recovery in the Debate Over Accountability",Dissertation or Thesis,,,,,,,,,,,,,,,,,
oai:ecommons.cornell.edu:1813/23131,"Albonesi, Stephen H.",2011-07-07T20:29:35Z,2011-07-07T20:29:35Z,2011-07-07,http://hdl.handle.net/1813/23131,,,"Made available in DSpace on 2011-07-07T20:29:35Z (GMT). No. of bitstreams: 1
Albonesi, Stephen - Honors Thesis.pdf: 662223 bytes, checksum: 4ce4a9aa91e0be3b846e2c9b3bbdb020 (MD5)",,,,,,,,,,"Eminent domain, the right of a government to take private property for public uses, was originally intended for projects with clear public purposes, such as the construction of utility lines. However, the use of eminent domain has become increasingly controversial because it has also been used for more discretionary projects, such as recreational trails. 

The purpose of this study was to gain insight on public opinion of the use of eminent domain for Phase Two of the Cayuga Waterfront Trail in Ithaca, NY. A secondary purpose was to observe how opinions of eminent domain differ across demographic groups. A telephone survey of a listed sample of 250 Ithaca residents was administered through the Cornell Survey Research Institute. 

Results indicate that Ithaca residents support the use of eminent domain both in theory and in accomplishing Phase Two. Residents favored eminent domain in general and for Phase Two by a ratio of about 5 (in favor): 3 (opposed): 2 (undecided). Younger to middle-aged people who hold at least a bachelor’s degree were most apt to favor the use of eminent domain. In general, those who favored eminent domain in theory also approved of eminent domain for Phase Two, and vice versa.

The study demonstrates strong community support for the use of eminent domain for Phase Two. For the City of Ithaca, the survey data can be a useful application in addressing counter positions to Phase Two. Public surveys of eminent domain are therefore important tools in the public decision making process.",en_US,,Public Opinion of the Use of Eminent Domain for Phase Two of the Cayuga Waterfront Trail,Dissertation or Thesis,,,,,,,,,,,,,,,,,
oai:ecommons.cornell.edu:1813/23176,"Dulak, Deirdre A.",2011-07-20T18:59:32Z,2011-07-20T18:59:32Z,2011-07-20,http://hdl.handle.net/1813/23176,,,"Made available in DSpace on 2011-07-20T18:59:32Z (GMT). No. of bitstreams: 1
Dulak, Deirdre - Research Honors Thesis.pdf: 577518 bytes, checksum: 2b318b83d96635e25550b74507b895df (MD5)",,,,,,,,,,"Testosterone has long been implicated in aggression. However, evidence for its role is contentious. This study examined the influence of testosterone on aggression but also aimed to further explore the effect of previous social stimuli on the outcome of male-male fights. Experimental males were exposed to animal stimuli (males, diestrus females, or estrous females) through a mesh barrier, and then testosterone levels were measured. The following day, control males with no prior exposure fought experimental males, and fighting behavior was recorded. It was hypothesized that exposure to social stimuli, especially exposure to estrous females, would induce testosterone surges in males. These surges would increase aggression in fights, thereby improving fighting ability in males with prior exposure. It was predicted that higher aggression would translate into experimental males winning significantly more fights than their control counterparts. However, results were rather ambiguous. A significant testosterone surge in males was only found after exposure to diestrus females. Males exposed to estrous females exhibited nearly significant testosterone surges, whereas males exposed to other males showed no significant changes in testosterone. The significant testosterone rise in males exposed to diestrus females did seem to increase aggression during fights compared to males with only male exposure. However, this did not predict the outcomes of the fights as expected.",en_US,,"Effects of Social Stimuli on Testosterone, Aggression, and Fighting Behavior in Male Golden Hamsters (Mesocricetus auratus)",Dissertation or Thesis,,,,,,,,,,,,,,,,,
oai:ecommons.cornell.edu:1813/23177,"Kates, Hilary Suzanne Curran",2011-07-20T19:00:09Z,2011-07-20T19:00:09Z,2011-07-20,http://hdl.handle.net/1813/23177,,,"Made available in DSpace on 2011-07-20T19:00:09Z (GMT). No. of bitstreams: 1
Kates, Hilary -  Research Honors Thesis.pdf: 4119983 bytes, checksum: 9eb6df8973ac3b786c8af079b151a1cd (MD5)",,,,,,,,,,"Males of a unique group of Caribbean ostracods use luminescence in their mating process. These ostracods show high microhabitat specificity and complex extracellular species-specific luminescent courtship displays, which result in a symphony of firework-type displays over shallow Caribbean reef systems after nightfall. Each ostracod’s mating signal consists of a train of light pulses composed of an initial slow “call phase” and a terminal targeting “trill phase” of regular, more rapid and shorter, narrowly spaced pulses. Ostracod displays play a crucial role in sexual selection and therefore speciation in this group. We examined which characteristics of these displays might be used by individuals among three clades of luminescent Caribbean ostracods (Photeros-group, Kornickeria-group and ‘H’-group, based on morphological and molecular work) to differentiate conspecifics from other species. We hypothesized that the more variable initial phase characteristics used in species recognition are more important in shaping the evolution of Caribbean ostracods than those characteristics that make up the constrained trill phase. We combined frame-by-frame analyses of videos of displays from the field for two undescribed species with analyses of 22 species based on published data. We overlaid our findings onto an independently derived phylogeny based on molecular and morphological data of 14 of these 24 species to determine possible signal evolution patterns. Our findings suggest phylogenetic signatures in 5 aspects of the display signal: the duration of the complete signal train, duration and length of the initial phase, the number of pulses in the trill phase, and the amount of time between consecutive pulses in the trill.",en_US,signaling,The Evolution of Luminescent Courtship Signals in Caribbean Ostracods,Dissertation or Thesis,,,,,,,,,,,,,,,,,
oai:ecommons.cornell.edu:1813/23178,"Neuendorf, Lauren E.",2011-07-20T19:01:14Z,2011-07-20T19:01:14Z,2011-07-20,http://hdl.handle.net/1813/23178,,,"Made available in DSpace on 2011-07-20T19:01:14Z (GMT). No. of bitstreams: 1
Neuendorf, Lauren - Research Honors Thesis.pdf: 265970 bytes, checksum: 0f65b1def7f10c518ad633d82daad8bb (MD5)",,,,,,,,,,"Laminitis, a condition of the hoof, is one of the most common and devastating conditions that affects the horse (Equus caballus). The most common factors responsible for triggering laminitis are intake of excess grain or exposure to lush pastures where high starch rich diets are consumed, although the connection between the gut and the hoof is not well understood. When horses are fed starch rich diets, like grain commonly found in the diets of race and performance horses, the balance of microbial species present in the digestive tract of the horse become disturbed, leading to lactic acidosis in the horse. The objective of this study was to identify and quantify the fecal microbial populations in horses maintained on various diets. Microbial populations present in the equine hindgut were assayed by using bacterial ribosomal DNA fragments present in fecal samples. Identification and quantification of specific bacterial species, using bacterial primers and florescent probes, can be detected by quantitative real-time PCR (qPCR). This study focused on equine hindgut streptococcal species (EHSS), including Streptococcus lutetiensis, which accounts for approximately 70% of the microbiota present in the hindgut prior to the onset of laminitis. Our results suggest that avoidance of pasture for all laminitic prone horses may need to be reevaluated as the hindgut microbe sensitivity to diet is unique for each individual horse. The use of these assays will be valuable in future work exploring the changing microbial populations present in the equine hindgut.",en_US,,Changes in Fecal Microbial Populations in Horses Maintained on Various Diets,Dissertation or Thesis,,,,,,,,,,,,,,,,,
oai:ecommons.cornell.edu:1813/23179,"Schlaff, Cody Daniel",2011-07-20T19:01:55Z,2011-07-20T19:01:55Z,2011-07-20,http://hdl.handle.net/1813/23179,,,"Made available in DSpace on 2011-07-20T19:01:55Z (GMT). No. of bitstreams: 1
Schlaff, Cody - Research Honors Thesis.pdf: 4962319 bytes, checksum: 1c3ef43234ffbe3f78f18cc5956d8e97 (MD5)",,,,,,,,,,"Glioblastoma multiforme (GBM) is the most aggressive primary brain cancer in adults and unfortunately, characterized by a poor prognosis. Standard treatments like surgical resection and chemotherapy are marginally effective. Despite aggressive therapy, the disease ultimately recurs. Local control-released chemotherapy may be administered via carmustine (BCNU) polymer-loaded biodegradable wafers (Gliadel® wafers) to the cavity upon surgical resection. One significant limitation of this modality is the instability of BCNU in aqueous media. Moreover, the effective therapeutic distance of the wafers extends only a few millimeters from the resection cavity, while recurrences occur often centimeters away. New carriers and pharmacological agents are being actively explored. One such carrier is derived from a novel set of poly(DL-lactide-co-glycolide-b–ethylene glycol-b-DL-lactide-co-glycolide) (PLGA-PEG-PLGA) thermo-gelling tri-block copolymers capable of sustained release of paclitaxel. Paclitaxel has been shown in vitro and in vivo to be effective against glioma cells while having a much slower degradation rate than carmustine; this slower degradation rate may allow deeper penetration into the brain, and as a result, effective concentrations can be sustained for longer periods. We seek to test whether thermo-gelling hydrogel carriers of paclitaxel could result in novel therapies for the treatment of GBM. We also seek to optimize the configuration of the thermo-gelling hydrogels within the resection cavity to maximize drug delivery to the surrounding brain.",en_US,,Optimization of Novel Thermo-gelling Tri-block Co-polymeric Carriers for the Delivery of Paclitaxel for the Treatment Glioblastoma Multiforme,Dissertation or Thesis,,,,,,,,,,,,,,,,,
oai:ecommons.cornell.edu:1813/23180,"Van Patten, Gabrielle N.",2011-07-20T19:02:25Z,2011-07-20T19:02:25Z,2011-07-20,http://hdl.handle.net/1813/23180,,,"Made available in DSpace on 2011-07-20T19:02:25Z (GMT). No. of bitstreams: 1
Van Patten, Gabrielle -  Research Honors Thesis.pdf: 1436411 bytes, checksum: f5f06c7401a38e58fb777855d7a57ba4 (MD5)",,,,,,,,,,"The mammalian hindlimb central pattern generator (CPG) for locomotion is located in the lumbar spinal cord, and coordinates contralateral alternation of the hindlimbs and intralimb flexor/extensor muscle alternations. Serotonin (5HT) plays an important role in enabling CPG functionality. All serotonergic input to the lumbar cord descends from the medullary Raphe nuclei; these inputs are lost after a complete spinal cord lesion. We used immunohistochemical methods to determine whether spinal cord injury (SCI) affects the expression levels of 5HT2C receptor clusters and CaV 1.3 channel clusters. Quipazine is a 5HT2 agonist and its regular administration has previously led to partial locomotor recovery. We sought to determine if daily administration would reduce the SCI-induced homeostatic changes in 5HT2C receptor and CaV 1.3 channel levels. Half the SCI mice were treated with quipazine, and half were saline vehicle treated. A combination of ImageJ and Matlab was used to determine the number, size, and intensity of 5HT2C receptor clusters after SCI, as well as the percentage of the frame area covered by CaV 1.3 channels and their average brightness. After SCI, there is a significant upregulation in the number of 5HT2C receptor clusters, and 5HT2C receptor clusters are significantly larger. Neither is reduced by quipazine. There is no significant change in the average brightness of 5HT2C receptor clusters after SCI. Additionally, the area and intensity of CaV 1.3 channels are significantly larger in SCI/saline mice than in intact mice. CaV 1.3 channels were not examined in SCI/quipazine mice due to a small sample size.",en_US,,Immunohistochemical Quantification of 5HT2C Receptors and CaV 1.3 Channels after Spinal Cord Injury in the Upper Lumbar Mouse Spinal Cord,Dissertation or Thesis,,,,,,,,,,,,,,,,,
oai:ecommons.cornell.edu:1813/28304,"Molfetto, Donna M.",2012-01-19T16:50:10Z,2012-01-19T16:50:10Z,2012-01-19,http://hdl.handle.net/1813/28304,,,"Made available in DSpace on 2012-01-19T16:50:10Z (GMT). No. of bitstreams: 1
Molfetto, Donna - Research Honors Thesis .pdf: 449643 bytes, checksum: 9385a6e1eb9d313cf17e1350f36fb47b (MD5)",,,,,,,,,,"Deuterium, a stable isotope of hydrogen expressed as δD, has been recorded in precipitation around the world since the 1960’s and those 40-year averages are often used in the study of avian ecology.  Deuterium varies geographically and temporally throughout the year due to temperature changes.  This study hypothesized that deuterium may have also increased over time due to temperature increases caused by climate change.  Deuterium was investigated in avian museum specimens from the last century in Tompkins County, New York.  Specimens were chosen using two different criteria: one including a wide variety of species to investigate general trends and the other restricted to a few species to reduce noise in the data.  Across a wide variety of passerine species, δD demonstrated an increasing trend over time, but the explanatory power of time was low (r2=0.1134).  When analysis was restricted to a single species, this relationship disappeared.  The relationship between temperature and δD rarely explained more than ten percent of the variation in the data.  Statistically significant differences were found between species and between the sexes, suggesting the need for further research in these areas.",en_US,,Historic Trends in Deuterium (δD) in Bird Feathers,Dissertation or Thesis,,,,,,,,,,,,,,,,,
